Primary Identifier,Defline,Organism,Classification,Synonym,,https://repository.up.ac.za/bitstream/handle/2263/51992/Kulheim_EucalytusAddfile1_2015.xlsx?sequence=3&isAllowed=y
Eucgr.B01314,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,EgranTPS001,,
Eucgr.B01315,(1 of 47) 4.2.3.75 - (-)-germacrene D synthase,E. grandis,sesquiterpene,EgranTPS002,,
Eucgr.B01942,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS003,,
Eucgr.C02467,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS005,,
Eucgr.C02474,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS006,,
Eucgr.C02554,(1 of 1) 4.2.3.77 - (+)-germacrene D synthase,E. grandis,sesquiterpene,EgranTPS007,,
Eucgr.C04198,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS009,,
Eucgr.D00666,(1 of 1) 4.2.3.144 - Geranyllinalool synthase,E. grandis,diterpene,,,
Eucgr.D00668,"(1 of 6) K17982 - geranyllinalool synthase (TPS04, GES)",E. grandis,diterpene,,,
Eucgr.D00671,"(1 of 7) PTHR31739:SF7 - (E,E)-GERANYLLINALOOL SYNTHASE",E. grandis,diterpene,,,
Eucgr.D00677,"(1 of 6) K17982 - geranyllinalool synthase (TPS04, GES)",E. grandis,diterpene,,,
Eucgr.D00678,"(1 of 6) K17982 - geranyllinalool synthase (TPS04, GES)",E. grandis,diterpene,,,
Eucgr.D00679,"(1 of 6) K17982 - geranyllinalool synthase (TPS04, GES)",E. grandis,diterpene,,,
Eucgr.D00680,"(1 of 6) K17982 - geranyllinalool synthase (TPS04, GES)",E. grandis,diterpene,,,
Eucgr.D00859,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00861,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00862,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00863,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00864,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00865,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00868,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00869,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00870,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00871,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00872,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D00874,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.D01100,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,,,
